movie_id,movie_year,trivia,mpaa,release_date,runtime,budget,html
tt0099088,1990,"Stranded in 1955, Marty McFly learns about the death of Doc Brown in 1885 and must travel back in time to save him. With no fuel readily available for the DeLorean, the two must figure how to escape the Old West before Emmett is murdered.",,May 25,1 hr 58 min,40000000,https://www.boxofficemojo.com/title/tt0099088/credits/
tt0099165,1990,"After his mistress runs over a young teen, a Wall Street hotshot sees his life unravel in the spotlight and attracting the interest of a down and out reporter.",R,December 22,2 hr 5 min,47000000,https://www.boxofficemojo.com/title/tt0099165/credits/
tt0099348,1990,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",,November 9,3 hr 1 min,22000000,https://www.boxofficemojo.com/title/tt0099348/credits/
tt0099422,1990,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.,,June 15,1 hr 45 min,47000000,https://www.boxofficemojo.com/title/tt0099422/credits/
tt0099423,1990,"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C.",,July 6,2 hr 4 min,70000000,https://www.boxofficemojo.com/title/tt0099423/credits/
tt0099587,1991,"During the air war over Vietnam, a U.S. Navy A-6 Intruder bomber pilot schemes with a hardened veteran to make an unauthorized air strike on Hanoi.",,January 18,1 hr 55 min,35000000,https://www.boxofficemojo.com/title/tt0099587/credits/
tt0099611,1990,A medical student sets out to recreate his decapitated fiancée by building her a new body made of Manhattan street prostitutes.,R,June 1,1 hr 25 min,2500000,https://www.boxofficemojo.com/title/tt0099611/credits/
tt0099653,1990,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.",,July 13,2 hr 7 min,22000000,https://www.boxofficemojo.com/title/tt0099653/credits/
tt0099674,1990,"In the midst of trying to legitimize his business dealings in New York City and Italy in 1979, aging Mafia Don Michael Corleone seeks to avow for his sins, while taking his nephew Vincent Mancini under his wing.",R,December 25,2 hr 42 min,54000000,https://www.boxofficemojo.com/title/tt0099674/credits/
tt0099747,1990,"In 1950s Cuba, a professional gambler falls for a woman heavily involved in the revolution movement.",R,December 14,2 hr 24 min,40000000,https://www.boxofficemojo.com/title/tt0099747/credits/
tt0099785,1990,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,,November 16,1 hr 43 min,18000000,https://www.boxofficemojo.com/title/tt0099785/credits/
tt0099810,1990,"In November 1984, the Soviet Union's best submarine Captain in their newest sub violates orders and heads for the U.S. Is he trying to defect or to start a war?",,March 2,2 hr 15 min,30000000,https://www.boxofficemojo.com/title/tt0099810/credits/
tt0099938,1990,"A tough cop must pose as a kindergarten teacher in order to locate a dangerous criminal's ex-wife, who may hold the key to putting him behind bars.",,December 22,1 hr 51 min,15000000,https://www.boxofficemojo.com/title/tt0099938/credits/
tt0100029,1990,An Ex-French Soldier begins participating in underground street fights in order to make money for his brother's family.,R,January 11,1 hr 48 min,6000000,https://www.boxofficemojo.com/title/tt0100029/credits/
tt0100142,1990,"A group of young upper-class Manhattanites are blithely passing through the gala debutante season, when an unusual outsider joins them and stirs them up.",,August 3,1 hr 38 min,230000,https://www.boxofficemojo.com/title/tt0100142/credits/
tt0100332,1990,"A chronicle of New York's drag scene in the 1980s, focusing on balls, voguing and the ambitions and dreams of those who gave the era its warmth and vitality.",R,August 9,1 hr 11 min,500000,https://www.boxofficemojo.com/title/tt0100332/credits/
tt0100405,1990,"A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.",R,March 23,1 hr 59 min,14000000,https://www.boxofficemojo.com/title/tt0100405/credits/
