movie_id,domestic_revenue,international_revenue,worldwide_revenue
tt0099088,40000000,88277583,157866667
tt0099165,47000000,15691192,0
tt0099348,22000000,184208848,240000000
tt0099422,47000000,103738726,59000000
tt0099423,70000000,117540947,122706486
tt0099587,35000000,14587732,0
tt0099611,2500000,205068,0
tt0099653,22000000,217631306,288178199
tt0099674,54000000,66666062,70100000
tt0099747,40000000,9243140,402300
tt0099785,18000000,285761243,191301871
tt0099810,30000000,122012643,78500000
tt0099938,15000000,91457688,110500000
tt0100029,6000000,24078196,193000
tt0100142,230000,2960492,0
tt0100332,500000,3905297,0
tt0100405,14000000,178406268,285000000
tt0100758,13500000,135265915,66700000
tt0100802,65000000,119412921,141905000
tt0101272,30000000,113502426,78000000
tt0101356,17000000,2865916,0
tt0101414,25000000,218967620,221150762
tt0101453,48000000,15565363,0
tt0101507,6500000,57504069,25001
tt0101587,27000000,124033791,55000000
tt0101588,3000000,1345015,0
tt0101615,6000000,1193062,0
tt0101701,18000000,5546827,0
tt0101786,17000000,4603929,0
tt0101831,13000000,5451119,0
tt0101902,40000000,17860280,5342164
tt0101917,11000000,34872033,0
tt0102005,23000000,7434726,0
tt0102032,300000,904,0
tt0102057,70000000,119654823,181200000
tt0102059,26000000,69467617,111628547
tt0102065,5000000,19438638,0
tt0102070,65000000,17218080,0
tt0102175,14000000,32482682,11400000
tt0102303,13000000,4102526,0
tt0102307,5000000,1050861,5126
tt0102370,4500000,15012935,14000000
tt0102395,13000000,3752428,0
tt0102411,26000000,12454768,0
tt0102492,17000000,59489799,0
tt0102510,23000000,86930411,0
tt0102526,8000000,47624353,0
tt0102558,40000000,8479793,0
tt0102614,14000000,39673161,0
tt0102753,7500000,6266621,0
tt0102782,11000000,2807854,0
tt0102798,48000000,165493908,225000000
tt0102803,35000000,46704056,0
tt0102818,16000000,4409328,0
tt0102849,3000000,9563393,0
tt0102898,1400000,115103,0
tt0102926,19000000,130742922,142010962
tt0102943,23000,1228108,0
tt0102945,19000000,101599005,73400000
tt0103007,22000000,11000863,0
tt0103060,25000000,78656813,0
tt0103064,102000000,205881154,315003693
tt0103074,16500000,45360915,73890
tt0103128,15000000,4693236,0
tt0103247,14000000,34793160,0
tt0103594,47000000,7191399,0
tt0103639,28000000,217350219,286700000
tt0103644,50000000,55473545,104340953
tt0103772,49000000,117727224,235200000
tt0103776,80000000,162902340,104000713
tt0103859,42000000,70052444,61000000
tt0103874,40000000,82522790,133339902
tt0103962,40000000,8251071,0
tt0104070,55000000,58422650,90600000
tt0104231,60000000,58883840,78900000
tt0104257,41000000,141340178,101900000
tt0104438,25000000,35208854,0
tt0104691,40000000,75505856,0
tt0104692,10000000,32100816,0
tt0104694,40000000,107533928,24906141
tt0104714,35000000,144731527,177000000
tt0104839,40000000,45500797,0
tt0104868,10000000,50752337,0
tt0104940,12000000,27281507,5037811
tt0104990,15000000,2819485,0
tt0105112,45000000,83351587,94700000
tt0105121,6000000,24204154,7143000
tt0105130,5000000,4058564,0
tt0105226,8000000,2502551,0
tt0105236,1200000,2832029,27721
tt0105378,14000000,2735731,0
tt0105399,10000000,8359717,0
tt0105793,20000000,121697323,61400000
tt0106226,34000000,32255440,0
tt0106264,1000000,265000,0
tt0106379,40000000,1519366,0
tt0106453,30000000,13273595,0
tt0106519,30000000,36948322,26903205
tt0106582,70000000,84049211,170951000
tt0106611,14000000,68856263,86000000
tt0106941,30000000,11146270,0
tt0106950,8000000,6739141,0
tt0107004,35000000,18635620,0
tt0107096,33000000,5864949,0
tt0107151,40000000,6265311,0
tt0107156,1000000,6933459,0
tt0107206,40000000,102314823,74682345
tt0107290,63000000,402828120,629192401
tt0107362,85000000,50016394,87282095
tt0107614,25000000,219195243,222090952
tt0107616,11000000,22549338,0
tt0107719,19000000,2119994,0
tt0107818,26000000,77446440,129232000
tt0107978,22000000,10696210,0
tt0108052,22000000,96898818,225388976
tt0108101,22000000,25842377,0
tt0108148,11000000,14694904,0
tt0108160,21000000,126808165,101119000
tt0108255,48000000,20915465,0
tt0108308,21000000,42273609,0
tt0108327,14000000,1029721,0
tt0108525,40000000,48197805,0
tt0109040,15000000,72217396,35000000
tt0109190,48000000,16827402,0
tt0109254,50000000,42614912,76594077
tt0109370,11000000,163971,0
tt0109444,62000000,122187717,93700000
tt0109445,27000,3151130,0
tt0109456,40000000,19726050,0
tt0109579,12000000,3103716,0
tt0109635,55000000,83015089,131000000
tt0109676,45000000,28735315,0
tt0109686,17000000,127175374,120100000
tt0109707,18000000,5887457,0
tt0109813,46000000,130531208,211100000
tt0109830,55000000,330455270,347767014
tt0109831,4400000,52700832,193000000
tt0109836,45000000,22006296,90000000
tt0110005,5000000,3049135,0
tt0110074,40000000,2816518,0
tt0110097,40000000,10424645,0
tt0110099,25000000,26381221,0
tt0110148,60000000,105264608,118400000
tt0110197,30000000,3783003,0
tt0110216,60000000,36763355,71668000
tt0110265,1500000,418961,0
tt0110357,45000000,422783777,545728028
tt0110367,18000000,50083616,0
tt0110391,60000000,18272894,0
tt0110475,23000000,119938730,231644677
tt0110598,9000000,15119639,362638
tt0110622,30000000,51132598,0
tt0110632,34000000,50282766,0
tt0110687,40000000,7182747,0
tt0110725,50000000,38590458,0
tt0110912,8000000,107928762,106250326
tt0110944,20000000,305070,0
tt0110989,40000000,38087756,0
tt0111070,22000000,144833357,45000000
tt0111127,13000000,7820688,0
tt0111149,2500000,2079569,0
tt0111161,25000000,28699976,86681
tt0111187,30000000,3180674,0
tt0111252,200000,1359736,0
tt0111255,45000000,57362582,113000000
tt0111257,30000000,121248145,229200000
tt0111280,35000000,75671125,42400000
tt0111301,35000000,33423521,66008265
tt0111359,32000000,8247627,2800000
tt0111400,50000000,16487349,0
tt0111503,115000000,146282411,232600000
tt0111512,10000000,11555430,0
tt0111756,63000000,25052000,0
tt0112401,50000000,30303072,0
tt0112427,4000000,259724,0
tt0112442,19000000,65807024,75600000
tt0112462,100000000,184069126,152498405
tt0112471,2500000,5535405,451303
tt0112508,10000000,25588734,900000
tt0112573,72000000,75609945,137606271
tt0112579,24000000,71516617,110500000
tt0112585,238000,10426506,0
tt0112682,18000000,1738611,42854
tt0112760,98000000,10017322,0
tt0112864,90000000,100012499,266224039
tt0112883,25000000,22150451,46642080
tt0113010,50000000,11534477,0
tt0113118,3500000,27467564,748354
tt0113326,7500000,32392047,0
tt0113409,8000000,8924549,0
tt0113481,26000000,19075720,0
tt0113492,90000000,34693481,78800000
tt0113497,65000000,100499940,162322000
tt0113540,1500000,7412216,0
tt0113987,44000000,13681765,0
tt0114113,11000000,2832826,0
tt0114214,32000000,18636537,0
tt0114272,19000000,4005941,0
tt0114319,58000000,53672080,0
tt0114345,46000000,10382407,0
